,Area Name,Age-group,Total ,People_with_disability_TOTAL
0,District-Bokaro,Total,2171467,70261
1,District-Chatra,Total,791434,17699
2,District-Deoghar,Total,1165390,47613
3,District-Dhanbad,Total,2596360,67300
4,District-Dumka,Total,1759602,34686
5,District-Giridih,Total,1904430,49208
6,District-Godda,Total,1047939,51496
7,District-Gumla,Total,1346767,18977
8,District-Hazaribagh,Total,2404744,35132
9,District-Kodarma,Total,499403,10195
10,District-Lohardaga,Total,364521,8356
11,District-Pakur,Total,701664,20760
12,District-Palamu,Total,2098359,57997
13,District-Pashchimi Singhbhum,Total,2202028,19747
14,District-Purbi Singhbhum,Total,2761647,35838
15,District-Ranchi,Total,3632157,64441
16,District-Sahibganj,Total,927770,36613
17,State-JHARKHAND,Total,26945829,769980
