"C-20: Disabled Population by type of Disability,Age and Sex ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,Total number of disabled persons,,,In seeing,,,In Hearing,,,In Speech,,,In Movement,,,Mental Retardation,,,Mental Illness,,,Any Other,,,Multiple Disability,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4920,20,000,State-JHARKHAND,Total,Total,"769,980","426,876","343,104","180,721","96,042","84,679","165,861","88,142","77,719","46,684","26,169","20,515","147,892","89,103","58,789","37,458","21,601","15,857","20,157","11,718","8,439","112,372","62,136","50,236","58,835","31,965","26,870"
C4920,20,000,State-JHARKHAND,Total,0-4,"46,455","24,406","22,049","14,154","7,208","6,946","12,307","6,329","5,978","1,057",582,475,"3,945","2,324","1,621","1,545",822,723,292,173,119,"10,382","5,417","4,965","2,773","1,551","1,222"
C4920,20,000,State-JHARKHAND,Total,5-9,"67,427","36,416","31,011","17,628","9,202","8,426","15,706","8,058","7,648","6,578","3,655","2,923","6,767","3,978","2,789","3,631","2,034","1,597",984,568,416,"10,392","5,530","4,862","5,741","3,391","2,350"
C4920,20,000,State-JHARKHAND,Total,10-19,"144,770","79,989","64,781","32,509","17,355","15,154","29,541","15,824","13,717","12,669","6,996","5,673","23,003","13,582","9,421","10,276","5,819","4,457","3,612","2,060","1,552","21,142","11,471","9,671","12,018","6,882","5,136"
C4920,20,000,State-JHARKHAND,Total,20-29,"111,923","63,708","48,215","23,563","12,732","10,831","22,810","12,087","10,723","8,179","4,589","3,590","21,510","13,806","7,704","7,196","4,195","3,001","4,151","2,501","1,650","17,500","9,697","7,803","7,014","4,101","2,913"
C4920,20,000,State-JHARKHAND,Total,30-39,"95,138","55,563","39,575","21,067","11,824","9,243","20,967","11,512","9,455","6,451","3,660","2,791","16,442","10,900","5,542","5,675","3,377","2,298","3,933","2,373","1,560","15,718","8,991","6,727","4,885","2,926","1,959"
C4920,20,000,State-JHARKHAND,Total,40-49,"83,172","49,573","33,599","18,902","10,952","7,950","18,137","10,276","7,861","4,855","2,797","2,058","16,656","10,962","5,694","4,235","2,594","1,641","3,270","1,941","1,329","13,102","7,646","5,456","4,015","2,405","1,610"
C4920,20,000,State-JHARKHAND,Total,50-59,"70,032","39,482","30,550","16,818","9,019","7,799","15,250","8,211","7,039","3,067","1,761","1,306","16,959","10,437","6,522","2,422","1,424",998,"1,924","1,039",885,"9,594","5,384","4,210","3,998","2,207","1,791"
C4920,20,000,State-JHARKHAND,Total,60-69,"82,083","42,582","39,501","20,251","9,934","10,317","17,438","8,690","8,748","2,286","1,289",997,"22,750","12,659","10,091","1,658",882,776,"1,342",701,641,"8,822","4,858","3,964","7,536","3,569","3,967"
C4920,20,000,State-JHARKHAND,Total,70-79,"45,933","23,450","22,483","11,016","5,428","5,588","9,227","4,778","4,449",964,531,433,"13,599","7,215","6,384",530,289,241,458,253,205,"3,555","1,955","1,600","6,584","3,001","3,583"
C4920,20,000,State-JHARKHAND,Total,80-89,"15,218","7,680","7,538","3,279","1,624","1,655","2,883","1,520","1,363",279,153,126,"4,652","2,437","2,215",131,68,63,104,52,52,919,492,427,"2,971","1,334","1,637"
C4920,20,000,State-JHARKHAND,Total,90+,"4,450","2,153","2,297",855,402,453,793,425,368,66,37,29,"1,252",603,649,45,25,20,37,25,12,259,126,133,"1,143",510,633
C4920,20,000,State-JHARKHAND,Total,Age Not Stated,"3,379","1,874","1,505",679,362,317,802,432,370,233,119,114,357,200,157,114,72,42,50,32,18,987,569,418,157,88,69
